Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Rain Status [](Monthly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone People Occupant Count [](Monthly),BLOCK1:ZONE1:Zone People Radiant Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone People Total Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone People Total Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Power [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Energy [J](Monthly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Monthly),BLOCK1:ZONE1_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone Mean Radiant Temperature [C](Monthly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Monthly),BLOCK1:ZONE1:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Monthly),BLOCK1:ZONE1:Zone Air Relative Humidity [%](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Rate [W](Monthly) 
 01/31  24:00:00,1.8237903225806456,4.032258064516129E-002,3353.447533466536,0.2661290322580645,6.4641707615082,78906960.0,29.460483870967793,66.91457676757983,179224002.41428549,17.527759468415625,36.10046310487948,16.269123812958278,17.63956839176394,16.95434610236111,433434456.42133966,0.0,161.82588725408437,0.0,33.82542638371481,437250440.14024916,0.0,437250440.140258,0.000008853029874992847,163.25061235821739,0.0,163.25061235822069,3.3053426952631588e-12 
 02/28  24:00:00,2.3805059523809515,3.125000000000000E-002,4985.650777934286,0.26785714285714287,6.506068895040479,71733600.0,29.65178571428576,52.62386465437088,127307653.37185389,34.32831039570375,89.56876960410756,17.242619540154835,18.32387944660445,17.783249493379619,264762517.03765223,0.0,109.4421780082888,0.0,36.39523591753281,267330416.2867165,0.0,267330416.28672297,0.0000064044775686178298,110.50364429841123,0.0,110.50364429841386,2.647353492318878e-12 
 03/31  24:00:00,5.927284946236562,4.032258064516129E-002,8192.89234345305,0.2782258064516129,6.703830159813145,82493640.0,30.799596774193604,43.140229132606417,115546789.70877287,49.10404205591261,125.41037435086172,18.74912749861535,19.501435524698829,19.125281511657055,135993543.36878676,0.0,50.77417240471428,0.0,38.84840647662393,137805546.97950024,0.0,137805546.97950346,0.000003225927020205938,51.450697050291328,0.0,51.450697050292529,1.2044231706264704e-12 
 04/30  24:00:00,10.115416666666658,3.055555555555555E-002,10469.51081541134,0.25,5.734561832332967,71733600.0,27.675000000000048,34.45415993692341,89305182.55650544,55.496936883241449,121.91328722936398,20.343109564626198,20.754872507539984,20.548991036083124,28042873.51553513,0.0,10.819009843956453,0.0,42.6627027822859,28602835.952340228,0.0,28602835.952340899,6.592167624473535e-7,11.035044734699165,0.0,11.035044734699423,2.543274546478987e-13 
 05/31  24:00:00,13.40349462365591,3.494623655913978E-002,13367.287816946256,0.2782258064516129,5.98054194727982,82493640.0,30.799596774193604,42.1242127738485,112825491.49347566,51.40890539563033,91.33567928820827,22.678935880114947,22.859515650985249,22.76922576555009,15754934.014648317,6597678.55641733,5.882218494118993,2.463290978351751,38.925320045769307,15490429.177839637,6518211.054132621,15492770.915973342,6520552.79226633,5.7834637014036869,2.4336212119670788,5.784338006262447,2.43449551682584 
 06/30  24:00:00,16.663055555555549,4.722222222222222E-002,15835.798426172574,0.275,5.663059568374287,78906960.0,30.442500000000054,43.59364999364647,112994740.7835316,55.85657542420658,86.76451678122703,24.398659398218716,24.181852192019336,24.290255795119,6254995.32998705,44081238.77847822,2.413192642741917,17.006650763301779,41.35973649312037,6352685.204450747,50986745.627570349,6353957.963044026,50988018.38616362,2.4508816375195785,19.670812356315733,2.451372670927479,19.671303389723624 
 07/31  24:00:00,20.25040322580643,3.091397849462366E-002,13521.56068496863,0.2540322580645161,5.013171744713402,75320280.0,28.121370967741986,39.09695659517396,104717288.54451396,61.904191184343037,92.17080450010792,26.1049087947274,25.569693133860395,25.83730096429391,293154.1820739871,168617447.17008097,0.10945123285319111,62.95454270089649,45.43458979937613,278425.6209705397,197695052.7230156,278681.84265749398,197695308.94470255,0.1039522181042935,73.81087691271486,0.10404788032313839,73.81097257493369 
 08/31  24:00:00,19.875268817204306,1.612903225806452E-002,11986.556727922514,0.2782258064516129,5.55299969658981,82493640.0,30.799596774193604,29.495040365600784,78999516.11522477,61.52346691346668,236.5225603868126,25.64417144586679,25.19816468459664,25.421168065231709,1280136.6949100164,167953695.5431926,0.4779482881235127,62.706726233270867,46.38827135829131,1226330.3244970034,197154992.12247447,1226536.5535668145,197155198.3515443,0.45785929080682616,73.60924138383892,0.4579362879207042,73.6093183809528 
 09/30  24:00:00,15.712638888888885,1.388888888888889E-002,9230.224185874007,0.2625,5.494187039432858,75320280.0,29.05875000000005,25.197377476571668,65311602.41927378,74.44281358234898,330.719539667245,23.584955612093816,23.564066926135785,23.574511269114777,5453162.915226836,13867985.295522685,2.103843717294304,5.3503029689516519,43.320496122617758,5302057.9823654419,16066972.84771452,5302206.279765533,16067121.145114612,2.045547061097778,6.198677796186157,2.0456042746008995,6.19873500968928 
 10/31  24:00:00,10.622446236559144,4.569892473118280E-002,6605.918187752689,0.2661290322580645,5.912561875860901,78906960.0,29.460483870967793,68.7816493524966,184224769.62572576,28.669687350276104,66.66137983707782,20.74710843819506,21.28540677011396,21.0162576041545,24499212.125130655,0.0,9.146957932023092,0.0,51.449403679764468,24549407.417532896,0.0,24549675.12609059,267.70855769712235,9.165698707262877,0.0,9.165798658187948,0.00009995092506612989 
