stepCount,EnvironmentSiteOutdoorAirDrybulbTemperature,EnvironmentSiteExteriorHorizontalSkyIlluminance,Block1:Zone1_DaylCtrlDaylightingReferencePoint1Illuminance,EMSwarmUpComplete,Block1:Zone1ZoneMeanRadiantTemperature,EMSepTimeStep,Block1:Zone1ZoneAirRelativeHumidity,EnvironmentSiteRainStatus,Block1:Zone1ZoneMeanAirTemperature,Block1:Zone1NumberOfOccupants,Block1:Zone1BlindFraction,Block1:Zone1AverageGains,Block1:Zone1WindowState0,Block1:Zone1LightState
40,5.10000,9313.56348,0.00000,1.00000,15.89656,16.00000,28.08429,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,3.00000,2549.40918,0.00000,1.00000,16.01945,17.00000,29.28947,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,2.20000,0.00000,0.00000,1.00000,16.13470,18.00000,29.70845,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,1.40000,0.00000,0.00000,1.00000,16.25674,19.00000,29.62529,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,1.00000,0.00000,0.00000,1.00000,16.19804,20.00000,37.06427,0.00000,17.03107,0.00000,0.00000,0.00000,0.00000,0.00000
45,0.60000,0.00000,0.00000,1.00000,15.43225,21.00000,40.57899,0.00000,15.32192,0.00000,0.00000,0.00000,0.00000,0.00000
46,0.20000,0.00000,0.00000,1.00000,14.90459,22.00000,41.78961,0.00000,14.65633,0.00000,0.00000,0.00000,0.00000,0.00000
47,0.80000,0.00000,0.00000,1.00000,14.55818,23.00000,42.22478,0.00000,14.28534,0.00000,0.00000,0.00000,0.00000,0.00000
48,1.30000,0.00000,0.00000,1.00000,14.30808,24.00000,41.97069,0.00000,13.86688,0.00000,0.00000,0.00000,0.00000,0.00000
49,1.90000,0.00000,0.00000,1.00000,14.10797,1.00000,41.48608,0.00000,13.55970,0.00000,0.00000,0.00000,0.00000,0.00000
50,2.00000,0.00000,0.00000,1.00000,13.92501,2.00000,40.79740,0.00000,13.32213,0.00000,0.00000,0.00000,0.00000,0.00000
51,2.10000,0.00000,0.00000,1.00000,13.76924,3.00000,40.30568,0.00000,13.08621,0.00000,0.00000,0.00000,0.00000,0.00000
52,2.20000,0.00000,0.00000,1.00000,13.61964,4.00000,40.06756,0.00000,12.88337,0.00000,0.00000,0.00000,0.00000,0.00000
53,2.60000,0.00000,0.00000,1.00000,13.48186,5.00000,40.03837,0.00000,12.78371,0.00000,0.00000,0.00000,0.00000,0.00000
54,2.90000,0.00000,0.00000,1.00000,13.36093,6.00000,24.33810,0.00000,20.72485,0.00000,0.00000,0.00000,0.00000,0.00000
55,3.30000,0.00000,0.00000,1.00000,14.73863,7.00000,24.02515,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56,4.40000,0.00000,0.00000,1.00000,15.56080,8.00000,24.31621,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
57,5.40000,908.35077,0.00000,1.00000,16.02251,9.00000,24.89643,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
58,6.50000,4563.31982,0.00000,1.00000,16.36086,10.00000,26.16895,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
59,7.40000,8784.06445,0.00000,1.00000,16.63064,11.00000,27.57088,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
60,8.30000,10299.13672,0.00000,1.00000,16.85775,12.00000,28.89054,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
61,9.20000,9201.29980,0.00000,1.00000,17.00311,13.00000,29.71214,1.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
62,8.30000,8612.46387,0.00000,1.00000,17.17588,14.00000,30.62051,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
63,7.40000,6609.30469,0.00000,1.00000,17.31651,15.00000,32.11580,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
64,6.50000,3676.16309,0.00000,1.00000,17.42150,16.00000,33.86082,1.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
65,6.30000,738.12500,0.00000,1.00000,17.53554,17.00000,35.42780,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66,6.20000,0.00000,0.00000,1.00000,17.62479,18.00000,36.11472,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
67,6.00000,0.00000,0.00000,1.00000,17.70883,19.00000,36.11906,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
68,5.60000,0.00000,0.00000,1.00000,17.60161,20.00000,41.23384,0.00000,18.38086,0.00000,0.00000,0.00000,0.00000,0.00000
69,5.30000,0.00000,0.00000,1.00000,17.07970,21.00000,43.86195,0.00000,16.76144,0.00000,0.00000,0.00000,0.00000,0.00000
70,4.90000,0.00000,0.00000,1.00000,16.65812,22.00000,43.20718,0.00000,16.13072,0.00000,0.00000,0.00000,0.00000,0.00000
71,4.70000,0.00000,0.00000,1.00000,16.36926,23.00000,40.59225,0.00000,15.84186,0.00000,0.00000,0.00000,0.00000,0.00000
72,4.50000,0.00000,0.00000,1.00000,16.16431,24.00000,37.78772,0.00000,15.66141,0.00000,0.00000,0.00000,0.00000,0.00000
73,4.30000,0.00000,0.00000,1.00000,15.93822,1.00000,35.77180,1.00000,15.47040,0.00000,0.00000,0.00000,0.00000,0.00000
74,3.70000,0.00000,0.00000,1.00000,15.81559,2.00000,34.20912,0.00000,15.42909,0.00000,0.00000,0.00000,0.00000,0.00000
75,3.20000,0.00000,0.00000,1.00000,15.67940,3.00000,33.38703,0.00000,15.36126,0.00000,0.00000,0.00000,0.00000,0.00000
76,2.60000,0.00000,0.00000,1.00000,15.54928,4.00000,33.06396,0.00000,15.25217,0.00000,0.00000,0.00000,0.00000,0.00000
77,2.10000,0.00000,0.00000,1.00000,15.42344,5.00000,33.03454,0.00000,15.11047,0.00000,0.00000,0.00000,0.00000,0.00000
78,1.70000,0.00000,0.00000,1.00000,15.29937,6.00000,22.88044,0.00000,20.93418,0.00000,0.00000,0.00000,0.00000,0.00000
79,1.20000,0.00000,0.00000,1.00000,16.19661,7.00000,22.75966,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
80,1.70000,0.00000,0.00000,1.00000,16.80047,8.00000,22.98977,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
81,2.20000,479.35315,0.00000,1.00000,17.12733,9.00000,23.57035,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
82,2.70000,4673.39844,0.00000,1.00000,17.37091,10.00000,24.86412,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
83,2.90000,10257.68359,0.00000,1.00000,17.56498,11.00000,26.46365,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
84,3.20000,13999.23145,0.00000,1.00000,17.73296,12.00000,28.24539,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
85,3.40000,15908.05078,0.00000,1.00000,17.87230,13.00000,29.68963,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
86,3.00000,15003.53223,0.00000,1.00000,17.98747,14.00000,31.05439,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
87,2.60000,11619.77344,0.00000,1.00000,18.08452,15.00000,32.88984,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
88,2.20000,6466.22852,0.00000,1.00000,18.15125,16.00000,34.94123,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
89,2.10000,1407.18665,0.00000,1.00000,18.20089,17.00000,36.89971,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
90,2.00000,0.00000,0.00000,1.00000,18.23209,18.00000,37.62408,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
91,1.90000,0.00000,0.00000,1.00000,18.26750,19.00000,37.27382,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
92,2.00000,0.00000,0.00000,1.00000,18.12414,20.00000,41.35120,0.00000,18.87838,0.00000,0.00000,0.00000,0.00000,0.00000
93,2.00000,0.00000,0.00000,1.00000,17.68274,21.00000,44.00821,0.00000,17.51092,0.00000,0.00000,0.00000,0.00000,0.00000
94,2.10000,0.00000,0.00000,1.00000,17.31929,22.00000,44.47402,0.00000,17.10681,0.00000,0.00000,0.00000,0.00000,0.00000
95,1.90000,0.00000,0.00000,1.00000,17.06343,23.00000,43.75670,0.00000,16.67570,0.00000,0.00000,0.00000,0.00000,0.00000
96,1.70000,0.00000,0.00000,1.00000,16.85285,24.00000,42.39629,0.00000,16.44077,0.00000,0.00000,0.00000,0.00000,0.00000
97,1.50000,0.00000,0.00000,1.00000,16.67159,1.00000,41.09600,0.00000,16.26965,0.00000,0.00000,0.00000,0.00000,0.00000
98,1.40000,0.00000,0.00000,1.00000,16.50807,2.00000,40.00728,0.00000,16.12234,0.00000,0.00000,0.00000,0.00000,0.00000
99,1.40000,0.00000,0.00000,1.00000,16.35682,3.00000,38.98878,0.00000,15.99678,0.00000,0.00000,0.00000,0.00000,0.00000
100,1.30000,0.00000,0.00000,1.00000,16.21456,4.00000,38.16692,0.00000,15.86236,0.00000,0.00000,0.00000,0.00000,0.00000
101,0.70000,0.00000,0.00000,1.00000,16.07181,5.00000,37.37084,0.00000,15.70903,0.00000,0.00000,0.00000,0.00000,0.00000
102,0.00000,0.00000,0.00000,1.00000,15.92517,6.00000,26.50980,0.00000,20.92928,0.00000,0.00000,0.00000,0.00000,0.00000
103,-0.60000,0.00000,0.00000,1.00000,16.67364,7.00000,25.85745,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
104,-0.20000,0.00000,0.00000,1.00000,17.20464,8.00000,25.82355,0.00000,21.00000,0.00000,0.00000,0.00000,0.00000,0.00000
105,0.20000,1117.61938,0.00000,1.00000,17.48064,9.00000,26.31434,0.00000,21.00000,1.00000,0.00000,82.77148,0.00000,1.00000
106,0.60000,9095.23047,0.00000,1.00000,17.71802,10.00000,27.77470,0.00000,21.00000,1.00000,0.00000,82.20016,0.00000,1.00000
107,1.40000,12428.68457,0.00000,1.00000,17.92836,11.00000,29.51168,0.00000,21.00000,1.00000,0.00000,81.64643,0.00000,1.00000
108,2.20000,16504.04102,0.00000,1.00000,18.12889,12.00000,31.22399,0.00000,21.00000,1.00000,0.00000,81.11191,0.00000,1.00000
109,3.00000,18590.76953,0.00000,1.00000,18.30511,13.00000,32.34669,0.00000,21.00000,1.00000,0.00000,80.68189,0.00000,1.00000
110,3.10000,16932.87305,0.00000,1.00000,18.44821,14.00000,33.20967,0.00000,21.00000,1.00000,0.00000,80.33744,0.00000,1.00000
111,3.30000,14683.38574,0.00000,1.00000,18.56725,15.00000,34.57204,0.00000,21.00000,1.00000,0.00000,79.98271,0.00000,1.00000
112,3.40000,9346.43359,0.00000,1.00000,18.63666,16.00000,36.26721,0.00000,21.00000,1.00000,0.00000,79.68082,0.00000,1.00000
113,2.00000,2846.34326,0.00000,1.00000,18.63086,17.00000,37.82516,0.00000,21.00000,1.00000,0.00000,79.52690,0.00000,1.00000
114,1.00000,0.00000,0.00000,1.00000,18.60307,18.00000,38.03712,0.00000,21.00000,1.00000,0.00000,79.55389,0.00000,1.00000
