Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Rain Status [](Monthly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone People Occupant Count [](Monthly),BLOCK1:ZONE1:Zone People Radiant Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone People Total Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone People Total Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Power [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Energy [J](Monthly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Monthly),BLOCK1:ZONE1_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone Mean Radiant Temperature [C](Monthly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Monthly),BLOCK1:ZONE1:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Monthly),BLOCK1:ZONE1:Zone Air Relative Humidity [%](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Rate [W](Monthly) 
 01/31  24:00:00,1.8237903225806456,4.032258064516129E-002,3353.447533466536,0.2661290322580645,6.464170761508196,78906960.0,29.460483870967793,81.01890322580664,217001030.399999,14.817487933081644,0.0,16.29806613809034,17.64290415756099,16.970485147825675,407177603.2256326,0.0,152.0227013237876,0.0,34.217578177472557,410969235.97821179,0.0,410969235.9782198,0.000008448964061165863,153.4383348186273,0.0,153.4383348186305,3.154481803003981e-12 
 02/28  24:00:00,2.3805059523809515,3.125000000000000E-002,4985.650777934286,0.26785714285714287,6.500030592135982,71733600.0,29.65178571428576,81.54500000000019,197273663.99999915,22.002177765358434,0.0,17.23558437480712,18.28924264215091,17.762413508479,229092111.74517785,0.0,94.6974668258838,0.0,37.26568773879984,231667334.83884315,0.0,231667334.83884795,0.000004971258218203332,95.76196049886035,0.0,95.76196049886254,2.054918244958388e-12 
 03/31  24:00:00,5.927284946236562,4.032258064516129E-002,8192.89234345305,0.2782258064516129,6.567228393124913,82493640.0,30.799596774193604,84.7015806451615,226864713.59999893,33.941799976034598,0.0,18.97445815162189,19.73649250570115,19.355475328661514,101070776.07829438,0.0,37.73550480820428,0.0,38.995173812267378,102779432.37806724,0.0,102779432.37806922,0.0000019626475006801087,38.37344398822703,0.0,38.37344398822777,7.327686307796103e-13 
 04/30  24:00:00,10.115416666666658,3.055555555555555E-002,10469.51081541134,0.25,5.5608133418597369,71733600.0,27.675000000000048,66.33703769315589,171945601.70065946,44.8401402888693,36.664101526777859,20.74998306462765,21.151627598882308,20.95080533175499,29537073.690433645,358197.46569998169,11.39547596081545,0.13819346670523983,40.2865349442678,28875680.561002908,331586.39859736899,28878540.16597372,334446.0035681885,11.140308858411615,0.12792685131071333,11.141412101070112,0.1290300939692085 
 05/31  24:00:00,13.40349462365591,3.494623655913978E-002,13367.287816946256,0.2782258064516129,6.040740814486358,82493640.0,30.799596774193604,29.208566493286644,78232224.49561873,55.60775533772509,156.6195499390502,22.598631779869167,22.795431165404435,22.69703147263678,17839768.534741578,4511079.9123055,6.660606531788225,1.6842442922287562,40.04474989104285,17777580.66269093,4459095.819596002,17778795.089135544,4460310.246040615,6.63738824025199,1.6648356554644577,6.637841655143198,1.6652890703556656 
 06/30  24:00:00,16.663055555555549,4.722222222222222E-002,15835.798426172574,0.275,5.657496656814934,78906960.0,30.442500000000054,27.378489168899195,70965043.92578656,59.087312700688347,154.93661995872717,24.338186641250599,24.14619547579307,24.242191058521834,6540399.184296934,35463350.96921505,2.5233021544355456,13.681848367752718,41.611022085578998,6602837.310393163,41779034.23345014,6603601.814466182,41779798.737523149,2.5473909376516836,16.118454565374284,2.5476858852107178,16.11874951293331 
 07/31  24:00:00,20.25040322580643,3.091397849462366E-002,13521.56068496863,0.2540322580645161,5.038239230443986,75320280.0,28.121370967741986,23.604216494972716,63221533.46013487,68.64353226510294,192.4197577627243,26.098032129379829,25.569392381429866,25.833712255404828,273555.0576303374,159899257.99993516,0.10213375807584285,59.69954375744299,45.53788019309149,288380.6046762913,187793536.7172123,288431.4624476074,187793587.5749836,0.10766898322740863,70.11407434185046,0.10768797134393947,70.11409332996699 
 08/31  24:00:00,19.875268817204306,1.612903225806452E-002,11986.556727922514,0.2782258064516129,5.566998925417037,82493640.0,30.799596774193604,20.317926146047438,54419533.38957349,63.34369522594128,277.8560761182708,25.574912439142897,25.161824156383813,25.368368297763327,1410974.68418149,153388740.36867003,0.52679759714064,57.268794940512957,46.59138278906722,1378841.0436093715,180656100.52193404,1379048.9700112532,180656308.44833596,0.5148002701647892,67.44926094755602,0.5148779009898645,67.44933857838109 
 09/30  24:00:00,15.712638888888885,1.388888888888889E-002,9230.224185874007,0.2625,5.521670077659436,75320280.0,29.05875000000005,20.72566302874069,53720918.570495929,74.33226618580156,350.8926340860753,23.546564150223685,23.53089710242216,23.538730626322918,5080087.633399546,13597180.974950269,1.9599103523918005,5.245825993422173,43.390520243643198,4844280.353125239,15812243.475503255,4844899.159452242,15812862.281830255,1.868935321421774,6.100402575425638,1.8691740584306485,6.1006413124345129 
 10/31  24:00:00,10.622446236559144,4.569892473118280E-002,6605.918187752689,0.2661290322580645,5.99656182748141,78906960.0,29.460483870967793,56.81091337332273,152162350.37910757,29.575564826955789,75.7982988655301,20.54195832311455,21.10336984349877,20.822664083306653,25269093.246876807,0.0,9.434398613678616,0.0,55.10030301443642,25592791.53478837,0.0,25592791.534789035,6.63686066104674e-7,9.555253709225053,0.0,9.555253709225298,2.4779199003310707e-13 
