Replicate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.0,0.0,0.0,358197.4656999817,4511079.9123055,35463350.96921505,159899257.99993515,153388740.36867005,13597180.974950267,0.0,0.0,0.0
2,0.0,0.0,0.0,10223.928640320999,13291261.015458232,60347131.54137702,206843211.6978044,198075723.27104935,22234506.493272886,38064.8346553891,0.0,0.0
