Replicate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,407177603.2256326,229092111.74517784,101070776.07829438,29537073.690433644,17839768.534741577,6540399.184296934,273555.05763033737,1410974.68418149,5080087.633399546,25269093.24687681,211290007.95279935,269855343.65453535
2,407177603.2256326,229092111.74517784,101070776.07829438,25299544.286404,21384587.16562592,6322206.47445394,144516.58755902734,3822462.2762215063,9664821.756693503,26498897.2677682,198540412.631626,262890911.77139157
